严重性	代码	说明	项目	文件	行	抑制状态
消息(活动)	IDE0031	可以简化 Null 检查	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ItemModKitPanelState.cs	418	
消息(活动)	IDE0031	可以简化 Null 检查	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\ModifiersTable.cs	172	
消息(活动)	IDE0031	可以简化 Null 检查	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\StatsTable.cs	53	
消息(活动)	IDE0031	可以简化 Null 检查	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\StatsTable.cs	61	
消息(活动)	IDE0031	可以简化 Null 检查	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\StatsTable.cs	66	
消息(活动)	IDE0031	可以简化 Null 检查	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\StatsTable.cs	72	
消息(活动)	IDE0031	可以简化 Null 检查	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\StatsTable.cs	96	
消息(活动)	IDE0031	可以简化 Null 检查	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	167	
消息(活动)	IDE0031	可以简化 Null 检查	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\Sample\SampleProvider.cs	62	
消息(活动)	IDE0031	可以简化 Null 检查	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\SettingsPanel\SettingsPanelProvider.cs	39	
消息(活动)	IDE0031	可以简化 Null 检查	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Navigation\ConfirmModal.cs	35	
消息(活动)	IDE0031	可以简化 Null 检查	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Navigation\ContentPresenter.cs	126	
消息(活动)	IDE0031	可以简化 Null 检查	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Navigation\ContentPresenter.cs	151	
消息(活动)	IDE0031	可以简化 Null 检查	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Navigation\NavController.cs	23	
消息(活动)	IDE0031	可以简化 Null 检查	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Navigation\NavController.cs	24	
消息(活动)	IDE0031	可以简化 Null 检查	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Settings\SettingsRefreshUtil.cs	12	
消息(活动)	IDE0031	可以简化 Null 检查	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Settings\SettingsRefreshUtil.cs	15	
消息(活动)	IDE0031	可以简化 Null 检查	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Settings\SettingsRefreshUtil.cs	19	
消息(活动)	IDE0031	可以简化 Null 检查	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Settings\SettingsRefreshUtil.cs	22	
